province,school,year,track,top_gender,top_score,note
湖南,常德芷兰实验学校,2010,文,F,657,女(原文'她');裸分状元;语134数140外140综243;录取清华法学
湖南,同升湖实验学校,2011,理,F,717,女(原文'她');含加分20裸分697;复读生(2010=610);语130数133英146综288;录取港大;总分状元
湖南,石门一中,2011,理,M,708,男(原文'他');含加分5裸分703;裸分状元;语131数141英142综289;录取清华
湖南,长沙一中,2011,文,F,675,女(原文'她');含加分20裸分655;总分状元;语127数133英143综252;录取港大
湖南,湘西民族中学,2011,文,F,675,女;含加分20裸分655;总分状元并列;录取北大
湖南,长郡中学,2011,文,M,666,男(原文'他');裸分状元;语126数140英144综256;录取北大元培
湖南,长沙一中,2012,理,M,705,男(原文'他');含加分20裸分685;语116数132英143综294;录取清华电子
湖南,长沙一中,2012,文,F,682,女(原文'她');含加分20裸分662;总分状元;录取港大
湖南,雅礼中学,2012,文,F,665,女(原文'她');裸分状元;语116数138英141综270;录取清华经管
湖南,雅礼中学,2013,理,NA,704,含加分20裸分684;录取清华
湖南,耒阳正源中学,2013,理,M,684,男(原文'他');裸分状元;语115数141英143综285;录取清华
湖南,湘钢一中,2013,文,NA,682,含加分20裸分662;语124数145英142综251;录取北大光华
湖南,安乡一中,2014,理,M,723,男(原文'他');含加分15裸分708;语126数142英146综294;录取清华
湖南,吉首一中,2014,文,M,691,含加分20裸分671;总分状元;录取北大；性别=初筛确认(2026-08-09)
湖南,衡阳八中,2014,文,F,684,女(原文'她');裸分状元;录取清华外文
湖南,湖南师大附中,2015,理,M,718,男(原文'他');语133数148英147综290;录取清华
湖南,桑植一中,2015,文,F,680,含加分20裸分660;语134数135外146综245;录取北大；性别=初筛确认(2026-08-09)
湖南,长郡中学,2016,理,M,708,男(原文'他');含加分20裸分688;总分状元;语118数140英139综291;录取北大
湖南,邵东一中,2016,理,M,704,男(原文'他');裸分状元;语124数140英147综293;录取北大光华
湖南,永顺一中,2016,文,F,666,女(原文'她');含加分20裸分646;总分状元;语120数134英139综253;录取清华
湖南,浏阳田家炳实验中学,2016,文,F,655,女(原文'她');裸分状元;语122数141英143综249;录取北大
湖南,双峰一中,2017,理,M,703,男(原文'他');语129数147英141综286;录取清华
湖南,会同一中,2017,文,NA,683,含加分10裸分673;总分状元;语128数142外135综268
湖南,浏阳一中,2017,文,F,681,女(原文'她');裸分状元;语132数144英142综263;录取北大
湖南,澧县一中,2017,文,NA,681,裸分状元并列;录取北大
湖南,湘西民族中学,2018,理,M,716,男(原文'他');含加分20裸分696;总分状元;录取清华自动化
湖南,永州四中,2018,理,M,713,男(原文'他');裸分状元;语125数149英145综294;录取清华计算机
湖南,雅礼中学,2018,文,F,701,女(原文'她');语135数150英148综268;录取清华新雅(社会学)
湖南,常德一中,2019,理,F,702,女(原文'她');语125数144外141综292;录取清华
湖南,雅礼中学,2019,文,NA,681,并列;语126数145英146综264;录取北大
湖南,澧县一中,2019,文,NA,681,并列;数144综270;录取北大
湖南,文郡洋沙湖中学,2020,理,M,718,男(原文'他');含加分20裸分698;复读生;总分状元;录取清华
湖南,长郡中学,2020,理,M,710,男(原文'他');裸分状元;语132数147英143综288;录取北大
湖南,鼎城一中,2020,文,M,707,男(原文'他');含加分20裸分687;语131数139英148综269;录取清华新雅
湖南,长沙一中,2021,物理类,F,700,女(原文'她');语130数137英150物92化95生96;录取北大元培(通用人工智能)
湖南,怀化三中,2021,历史类,NA,683,含加分20裸分663;总分状元;选科史化生;录取北大光华
湖南,慈利一中,2021,历史类,F,681,女(原文'她');含加分10裸分671;裸分状元;语138数124外142史86政91地90;录取北大光华
湖南,桑植一中,2022,物理类,M,703,男(原文'他');含加分20裸分683;总分状元;语126数137外138物89化97生96;录取清华计算机
湖南,衡阳八中,2022,物理类,F,698,男(原文'他');裸分状元;语125数142英142物93化99生97;录取清华工业工程
湖南,会同一中,2022,历史类,NA,672,含加分20裸分652;总分状元;选科史政地
湖南,湖南师大二附中,2022,历史类,F,659,"女(原文'她');裸分状元;复读生(2021考入华中科大,2021八省联考历史类第1);语124数118外143史83政93地98;录取北大光华"
湖南,长郡中学,2023,物理类,M,717,男(原文'他');语133数146外146物98化99生95;录取北大元培(通用人工智能)
湖南,冷水江一中,2023,历史类,M,686,语127数139英145史88政93地94;录取清华新雅；性别=初筛确认(2026-08-09)
湖南,永州四中,2024,物理类,NA,720,语137数142外148物98化98生97;录取清华自动化
湖南,长郡中学,2024,历史类,NA,682,录取北大
湖南,雅礼中学,2025,物理类,NA,719,语142数139外150物93化98生97
湖南,靖州一中,2025,历史类,F,686,含加分10裸分676;总分状元;语135数130英144史82政92地93；性别=初筛确认(2026-08-09)
湖南,长郡中学,2025,历史类,NA,685,裸分状元;语133数134英143史85生96政94
湖南,桑植一中,2026,物理类,M,711,含加分10裸分701;总分状元；性别=初筛确认(2026-08-09)
湖南,衡阳八中,2026,物理类,NA,709,裸分状元;语127数144外144物97化100生97
湖南,桃源一中,2026,历史类,F,688,并列；性别=初筛确认(2026-08-09)
湖南,益阳一中,2026,历史类,M,688,并列；性别=初筛确认(2026-08-09)
黑龙江,哈师大附中,1981,理,NA,,
黑龙江,佳木斯一中,1981,文,NA,,
黑龙江,牡丹江十五中,1982,理,F,,性别=初筛确认(2026-08-09)
黑龙江,哈尔滨二十四中,1982,文,NA,,
黑龙江,哈师大附中,1983,理,F,,并列；性别=初筛确认(2026-08-09)
